GEOID,CensusTract,State,County,Urban,Pop2010,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_Vehicle
04013061030,04013061030,Arizona,Maricopa County,1,7272,0,1.42857142857143,85100.0,0,0,0
04013061031,04013061031,Arizona,Maricopa County,1,3315,0,8.34742180896027,84779.0,0,0,0
04013061032,04013061032,Arizona,Maricopa County,1,5579,0,9.416565900846429,75755.0,0,0,0
04013061033,04013061033,Arizona,Maricopa County,1,6011,0,11.4864864864865,62318.0,0,0,0
04013061034,04013061034,Arizona,Maricopa County,1,6764,0,11.842262974949099,89408.0,0,0,0
04013061035,04013061035,Arizona,Maricopa County,1,6699,0,4.71618186952838,68487.0,0,0,0
04013061036,04013061036,Arizona,Maricopa County,1,2489,0,3.0832726389900498,98500.0,0,0,0
04013061037,04013061037,Arizona,Maricopa County,1,3957,0,5.63433541312157,100208.0,0,0,0
04013061038,04013061038,Arizona,Maricopa County,1,4525,0,6.19686800894855,73512.0,0,0,0
04013061039,04013061039,Arizona,Maricopa County,1,3708,0,14.880684376407,94074.0,0,0,0
04013061040,04013061040,Arizona,Maricopa County,1,3929,0,9.39787485242031,64643.0,0,0,0
04013061041,04013061041,Arizona,Maricopa County,1,4319,0,4.9666738335841805,63208.0,0,0,0
04013061042,04013061042,Arizona,Maricopa County,1,2120,0,9.131803868645969,64028.0,0,0,0
04013061043,04013061043,Arizona,Maricopa County,1,2452,0,10.1464435146444,64167.0,0,0,0
04013061044,04013061044,Arizona,Maricopa County,0,5553,0,2.8335967487017397,92481.0,0,0,0
04013061045,04013061045,Arizona,Maricopa County,1,4960,0,2.1938696125719597,105766.0,0,0,0
04013061046,04013061046,Arizona,Maricopa County,1,5183,0,13.3540372670807,67978.0,0,0,0
04013061047,04013061047,Arizona,Maricopa County,1,3264,0,8.64612995081543,125769.0,0,0,0
04013061100,04013061100,Arizona,Maricopa County,1,3436,1,5.67901234567901,52935.0,1,1,0
04013061200,04013061200,Arizona,Maricopa County,1,6114,1,38.5316368638239,29670.0,0,1,1
04013061300,04013061300,Arizona,Maricopa County,1,1930,1,18.1093394077449,52563.0,0,1,0
04013061401,04013061401,Arizona,Maricopa County,1,1972,1,41.196665031878396,30667.0,0,0,0
04013061402,04013061402,Arizona,Maricopa County,1,5505,1,35.2872992217254,35917.0,0,1,0
04013071503,04013071503,Arizona,Maricopa County,1,4708,1,6.6973079448457,45093.0,1,1,1
04013071504,04013071504,Arizona,Maricopa County,1,3394,1,3.58078602620087,57273.0,1,1,0
04013071505,04013071505,Arizona,Maricopa County,1,5964,0,11.4804510177186,59375.0,0,0,0
04013071506,04013071506,Arizona,Maricopa County,1,4260,1,9.91035856573705,55016.0,1,1,0
04013071509,04013071509,Arizona,Maricopa County,1,5401,0,7.093488541287741,104120.0,0,0,0
04013071510,04013071510,Arizona,Maricopa County,1,4078,0,3.5818005808325304,108553.0,0,0,0
04013071511,04013071511,Arizona,Maricopa County,1,3339,0,11.1050626020686,70735.0,0,0,0
04013071512,04013071512,Arizona,Maricopa County,1,5917,0,2.6245899078268997,86426.0,0,0,0
04013071513,04013071513,Arizona,Maricopa County,1,1550,0,7.06775700934579,100208.0,0,0,0
04013071514,04013071514,Arizona,Maricopa County,1,4021,0,7.92181069958848,89583.0,0,0,0
04013071515,04013071515,Arizona,Maricopa County,1,3674,0,4.61293743372216,91458.0,0,0,0
04013071516,04013071516,Arizona,Maricopa County,1,2886,1,8.587915818058379,48242.0,1,1,1
04013071517,04013071517,Arizona,Maricopa County,1,3740,0,5.88083569770441,65313.0,0,0,0
04013071600,04013071600,Arizona,Maricopa County,1,3668,1,21.904761904761898,43363.0,1,1,1
04013071701,04013071701,Arizona,Maricopa County,1,2634,0,11.754626456477,67337.0,0,0,0
04013071702,04013071702,Arizona,Maricopa County,1,3219,1,11.5569823434992,36518.0,1,1,0
04013071801,04013071801,Arizona,Maricopa County,1,5148,1,12.282417367494599,47679.0,1,1,1
04013071802,04013071802,Arizona,Maricopa County,1,3302,1,12.3346751006325,44940.0,1,1,0
04013071903,04013071903,Arizona,Maricopa County,1,6306,0,6.279620853080569,80424.0,0,0,0
04013071906,04013071906,Arizona,Maricopa County,1,5816,1,14.876183539694098,57500.0,0,1,0
04013071909,04013071909,Arizona,Maricopa County,1,3797,0,5.677290836653389,67434.0,0,0,0
04013071910,04013071910,Arizona,Maricopa County,1,6218,1,12.962962962963001,53841.0,0,0,0
04013071911,04013071911,Arizona,Maricopa County,1,3081,0,5.6894889103182305,67946.0,0,0,0
04013071912,04013071912,Arizona,Maricopa County,1,2817,1,12.229987293519699,51750.0,1,1,0
04013071913,04013071913,Arizona,Maricopa County,1,5071,1,16.468903436988498,51705.0,0,1,1
04013071914,04013071914,Arizona,Maricopa County,1,3125,1,23.7412364563416,59400.0,1,1,0
04013071915,04013071915,Arizona,Maricopa County,1,3439,0,14.8529411764706,64048.0,0,0,0
04013082002,04013082002,Arizona,Maricopa County,1,5807,0,10.4664075513604,63293.0,0,0,0
04013082007,04013082007,Arizona,Maricopa County,1,4077,1,19.781931464174498,47545.0,0,1,0
04013082008,04013082008,Arizona,Maricopa County,1,5058,1,23.3009708737864,42083.0,0,0,0
04013082009,04013082009,Arizona,Maricopa County,1,4668,1,16.1784287616511,49856.0,0,1,0
04013082010,04013082010,Arizona,Maricopa County,1,3931,1,24.8262548262548,39514.0,0,1,0
04013082012,04013082012,Arizona,Maricopa County,1,5708,0,7.83422112511368,71235.0,0,0,0
04013082016,04013082016,Arizona,Maricopa County,1,2348,0,6.06060606060606,78162.0,0,0,0
04013082017,04013082017,Arizona,Maricopa County,1,4275,0,17.265306122449,57869.0,0,0,0
04013082018,04013082018,Arizona,Maricopa County,1,4685,1,21.0263245584805,57083.0,0,1,0
04013082019,04013082019,Arizona,Maricopa County,1,2391,0,3.5976505139500703,99769.0,0,0,0
04013082020,04013082020,Arizona,Maricopa County,1,3833,0,7.6745379876796695,85139.0,0,0,0
04013082021,04013082021,Arizona,Maricopa County,1,2070,0,3.73039423484527,80950.0,0,0,0
04013082022,04013082022,Arizona,Maricopa County,1,4171,0,11.5498310810811,69236.0,0,0,0
04013082023,04013082023,Arizona,Maricopa County,1,5366,0,9.210282966524879,77000.0,0,0,0
04013082024,04013082024,Arizona,Maricopa County,1,4081,0,18.4866123399302,61114.0,0,0,0
04013082025,04013082025,Arizona,Maricopa County,1,2378,0,11.3072877535687,74250.0,0,0,0
04013082026,04013082026,Arizona,Maricopa County,1,5995,0,11.981269174874901,58719.0,0,0,0
04013082027,04013082027,Arizona,Maricopa County,1,3978,0,13.566739606126902,59539.0,0,0,0
04013082028,04013082028,Arizona,Maricopa County,1,4214,1,21.3217768147346,55093.0,0,1,0
04013082203,04013082203,Arizona,Maricopa County,1,7512,0,11.6640458791971,72414.0,0,0,0
04013082204,04013082204,Arizona,Maricopa County,1,5359,0,17.2983216025988,65231.0,0,0,0
04013082205,04013082205,Arizona,Maricopa County,1,5124,0,10.4602510460251,64583.0,0,0,0
04013082206,04013082206,Arizona,Maricopa County,1,3092,0,7.2039072039072005,71678.0,0,0,0
04013082207,04013082207,Arizona,Maricopa County,1,2394,0,15.090484530064199,58682.0,0,0,0
04013082208,04013082208,Arizona,Maricopa County,0,2891,1,26.370083816892297,57240.0,0,0,0
04013082209,04013082209,Arizona,Maricopa County,1,2840,1,22.3997280761387,46691.0,0,1,0
04013082210,04013082210,Arizona,Maricopa County,1,4633,0,11.9329012581014,61921.0,0,0,0
04013082211,04013082211,Arizona,Maricopa County,1,4823,0,8.42405854006782,78458.0,0,0,0
04013083000,04013083000,Arizona,Maricopa County,1,6545,1,18.288426636884,43229.0,0,1,0
04013092305,04013092305,Arizona,Maricopa County,1,3667,1,17.638574077890002,57188.0,0,1,0
04013092306,04013092306,Arizona,Maricopa County,1,5893,1,20.1753037059819,67905.0,0,1,0
04013092307,04013092307,Arizona,Maricopa County,1,5847,0,14.136767862618798,62023.0,0,0,0
04013092308,04013092308,Arizona,Maricopa County,1,6612,0,10.6142794311685,64830.0,0,0,0
04013092309,04013092309,Arizona,Maricopa County,1,5212,0,18.969516235917798,63763.0,0,0,0
04013092311,04013092311,Arizona,Maricopa County,1,2876,1,34.1799937284415,32880.0,0,1,1
04013092312,04013092312,Arizona,Maricopa County,1,5001,1,22.3448563098709,49722.0,1,1,1
04013092401,04013092401,Arizona,Maricopa County,1,4045,1,23.1645312182225,40991.0,0,1,1
04013092402,04013092402,Arizona,Maricopa County,1,3369,1,21.622410271374402,54150.0,0,1,1
04013092500,04013092500,Arizona,Maricopa County,1,4935,0,17.4749334970329,60905.0,0,0,0
04013092600,04013092600,Arizona,Maricopa County,1,3177,1,57.84077201447529,17950.0,1,1,1
04013092705,04013092705,Arizona,Maricopa County,1,3702,1,13.038574328896901,48867.0,0,1,0
04013092708,04013092708,Arizona,Maricopa County,1,2056,1,20.067210753720598,67772.0,0,1,0
04013092709,04013092709,Arizona,Maricopa County,1,4130,0,7.605101558809641,67500.0,0,0,0
04013092710,04013092710,Arizona,Maricopa County,1,4269,0,11.125945705385,82083.0,0,0,0
04013092711,04013092711,Arizona,Maricopa County,1,3120,0,18.867379370124198,65573.0,0,0,0
04013092712,04013092712,Arizona,Maricopa County,1,4905,0,7.892882311486959,73485.0,0,0,0
04013092713,04013092713,Arizona,Maricopa County,1,5027,0,13.1683168316832,64828.0,0,0,0
04013092715,04013092715,Arizona,Maricopa County,1,4037,1,17.0311464546057,51173.0,0,1,0
04013092716,04013092716,Arizona,Maricopa County,1,3908,1,21.798505539809298,55294.0,0,1,0
04013092717,04013092717,Arizona,Maricopa County,1,4870,1,24.0267970305993,38869.0,0,1,0
04013092718,04013092718,Arizona,Maricopa County,1,3791,1,29.8263798911635,39839.0,0,1,0
04013092719,04013092719,Arizona,Maricopa County,1,4277,0,4.22142572680207,60964.0,0,0,0
04013092720,04013092720,Arizona,Maricopa County,0,4407,0,11.5974495950371,73169.0,0,0,0
04013092721,04013092721,Arizona,Maricopa County,1,2801,0,5.76923076923077,96458.0,0,0,0
04013092723,04013092723,Arizona,Maricopa County,1,4114,0,15.3944020356234,61178.0,0,0,0
